,Batters,Runs Scored,Balls Played,Strike Rate,Boundaries,Sixes,Matches Played,Dismissals,50s,100s,Wins Contributed,Runs in Powerplay,Runs in Middle Overs,Runs in Death Overs
325,A Ashish Reddy,280,196,142.86,16,15,23,15,0,0,11,5,83,192
335,A Chandila,4,7,57.14,0,0,2,0,0,0,0,0,0,4
128,A Chopra,53,75,70.67,7,0,6,6,0,0,4,27,26,0
436,A Choudhary,25,20,125.0,1,1,3,1,0,0,0,0,1,24
470,A Dananjaya,4,5,80.0,0,0,1,0,0,0,0,0,0,4
155,A Flintoff,62,57,108.77,5,2,3,2,0,0,1,14,26,22
124,A Kumble,35,49,71.43,3,0,15,3,0,0,2,0,6,29
136,A Mishra,362,410,88.29,29,5,56,31,0,0,10,1,137,224
244,A Mithun,34,26,130.77,4,1,6,5,0,0,2,0,21,13
152,A Mukund,19,23,82.61,1,0,2,2,0,0,0,14,5,0
73,A Nehra,41,63,65.08,3,1,17,7,0,0,2,0,5,36
515,A Nortje,7,6,116.67,0,0,3,1,0,0,1,0,0,7
196,A Singh,2,10,20.0,0,0,5,4,0,0,0,0,0,2
55,A Symonds,974,781,124.71,74,41,36,27,5,1,18,72,663,239
213,A Uniyal,4,7,57.14,0,0,2,1,0,0,0,0,0,4
430,A Zampa,5,8,62.5,1,0,2,2,0,0,0,0,5,0
172,AA Bilakhia,69,88,78.41,5,0,7,5,0,0,3,23,12,34
297,AA Chavan,12,11,109.09,2,0,3,2,0,0,0,0,1,11
211,AA Jhunjhunwala,217,218,99.54,19,5,15,13,1,0,4,24,140,53
12,AA Noffke,9,12,75.0,1,0,1,1,0,0,0,0,9,0
82,AB Agarkar,179,160,111.87,13,5,19,10,0,0,2,20,50,109
227,AB Barath,42,43,97.67,5,1,3,2,0,0,2,18,22,2
106,AB Dinda,26,50,52.0,2,0,16,10,0,0,0,0,8,18
198,AB McDonald,123,103,119.42,9,4,9,5,0,0,5,30,15,78
110,AB de Villiers,4849,3264,148.56,390,235,156,120,38,3,68,716,2879,1254
289,AC Blizzard,120,91,131.87,21,2,7,7,1,0,3,99,21,0
52,AC Gilchrist,2069,1555,133.05,239,92,80,76,11,2,36,1385,632,52
274,AC Thomas,20,19,105.26,1,1,4,2,0,0,0,0,1,19
230,AC Voges,181,143,126.57,15,3,7,4,0,0,3,7,108,66
480,AD Hales,148,119,124.37,13,6,6,6,0,0,4,114,34,0
137,AD Mascarenhas,79,79,100.0,5,1,11,9,0,0,3,4,43,32
191,AD Mathews,724,599,120.87,44,29,42,31,1,0,10,10,392,322
414,AD Nath,90,99,90.91,7,2,10,10,0,0,4,11,63,16
334,AD Russell,1517,882,172.0,105,129,61,51,8,0,26,23,829,665
449,AF Milne,7,12,58.33,0,0,3,2,0,0,0,0,5,2
286,AG Murtaza,10,14,71.43,1,0,3,1,0,0,0,0,0,10
252,AG Paunikar,49,61,80.33,9,0,5,5,0,0,2,49,0,0
254,AJ Finch,2005,1622,123.61,204,75,85,79,14,0,34,859,943,203
509,AJ Turner,3,11,27.27,0,0,4,3,0,0,2,0,0,3
452,AJ Tye,91,79,115.19,6,5,13,9,0,0,2,0,37,54
266,AL Menaria,401,367,109.26,24,18,23,21,0,0,9,8,314,79
47,AM Nayar,672,588,114.29,56,20,50,38,0,0,15,65,383,224
85,AM Rahane,3933,3325,118.29,416,76,140,124,28,2,68,1949,1631,353
246,AN Ahmed,36,27,133.33,4,1,6,1,0,0,2,0,0,36
173,AN Ghosh,7,8,87.5,1,0,2,2,0,0,0,7,0,0
245,AP Dole,34,23,147.83,3,1,2,2,0,0,1,0,2,32
330,AP Majumdar,87,77,112.99,7,2,4,4,0,0,0,21,66,0
207,AP Tare,339,285,118.95,40,11,27,24,1,0,9,226,79,34
457,AR Bawne,12,12,100.0,1,0,1,0,0,0,0,0,0,12
374,AR Patel,913,745,122.55,53,43,71,50,0,0,26,11,476,426
503,AS Joseph,15,13,115.38,2,0,1,0,0,0,1,0,4,11
344,AS Rajpoot,26,41,63.41,2,1,7,5,0,0,0,0,1,25
169,AS Raut,194,172,112.79,13,7,16,9,0,0,4,7,80,107
58,AS Yadav,49,40,122.5,5,2,6,5,0,0,0,0,10,39
530,AT Carey,32,29,110.34,0,1,3,2,0,0,2,0,1,31
208,AT Rayudu,3659,2970,123.2,308,132,151,124,19,1,87,738,2212,709
261,AUK Pathan,39,26,150.0,5,2,7,5,0,0,3,14,11,14
521,Abdul Samad,111,66,168.18,8,6,7,5,0,0,3,0,38,73
145,Abdur Razzak,0,2,0.0,0,0,1,0,0,0,0,0,0,0
487,Abhishek Sharma,143,104,137.5,10,8,13,8,0,0,7,0,52,91
205,Anirudh Singh,63,69,91.3,6,1,4,4,0,0,1,18,36,9
314,Ankit Sharma,87,69,126.09,7,4,10,7,0,0,0,27,29,31
459,Ankit Soni,7,9,77.78,0,1,3,2,0,0,0,0,0,7
395,Anureet Singh,36,47,76.6,2,1,8,4,0,0,0,0,7,29
535,Arshdeep Singh,0,3,0.0,0,0,1,1,0,0,0,0,0,0
499,Avesh Khan,4,3,133.33,1,0,1,0,0,0,0,0,0,4
321,Azhar Mahmood,388,311,124.76,39,13,21,19,2,0,11,22,270,96
11,B Akhil,76,57,133.33,5,5,11,6,0,0,5,0,27,49
93,B Chipli,280,256,109.38,28,7,21,15,1,0,6,55,147,78
299,B Kumar,183,199,91.96,17,3,42,25,0,0,7,0,9,174
343,B Laughlin,5,13,38.46,0,0,4,2,0,0,0,0,4,1
66,B Lee,124,102,121.57,8,8,19,10,0,0,6,0,20,104
468,B Stanlake,5,2,250.0,1,0,1,0,0,0,1,0,0,5
250,B Sumanth,35,38,92.11,3,0,4,1,0,0,3,0,12,23
302,BA Bhatt,6,7,85.71,0,1,2,1,0,0,1,0,0,6
437,BA Stokes,920,700,131.43,80,32,40,35,2,2,19,239,559,122
174,BAW Mendis,3,6,50.0,0,0,3,2,0,0,0,0,0,3
1,BB McCullum,2880,2267,127.04,293,130,109,104,13,2,55,1555,1167,158
327,BB Samantray,125,116,107.76,13,2,8,5,1,0,6,15,79,31
429,BB Sran,10,14,71.43,0,0,7,1,0,0,2,0,1,9
385,BCJ Cutting,238,146,163.01,15,19,17,11,0,0,9,0,30,208
387,BE Hendricks,1,3,33.33,0,0,2,1,0,0,0,0,0,1
279,BJ Haddin,18,11,163.64,2,1,1,1,0,0,0,18,0,0
104,BJ Hodge,1400,1153,121.42,122,43,63,42,6,0,27,148,758,494
353,BJ Rohrer,193,145,133.1,21,5,8,6,1,0,2,0,120,73
348,BMAJ Mendis,23,27,85.19,0,0,3,3,0,0,0,1,22,0
379,BR Dunk,40,36,111.11,7,0,3,3,0,0,2,40,0,0
440,Basil Thampi,32,37,86.49,1,1,7,1,0,0,1,0,3,29
228,Bipul Sharma,187,124,150.81,11,9,17,8,0,0,6,0,35,152
251,C Madan,15,21,71.43,3,0,1,1,0,0,1,15,0,0
411,C Munro,177,144,122.92,19,8,12,12,0,0,5,131,42,4
193,C Nanda,0,1,0.0,0,0,1,1,0,0,0,0,0,0
448,C de Grandhomme,303,229,132.31,18,18,21,16,0,0,8,1,166,136
292,CA Ingram,205,183,112.02,22,5,15,12,0,0,8,14,138,53
336,CA Lynn,1280,938,136.46,128,63,41,38,10,0,21,766,484,30
203,CA Pujara,390,403,96.77,50,4,22,19,1,0,12,215,135,40
162,CH Gayle,4772,3342,142.79,384,349,131,116,31,6,64,2305,2082,385
350,CH Morris,551,360,153.06,39,30,42,23,2,0,12,17,141,393
372,CJ Anderson,538,436,123.39,40,31,29,22,3,0,10,52,344,142
295,CJ Ferguson,98,119,82.35,9,0,8,6,0,0,4,17,64,17
434,CJ Jordan,32,38,84.21,2,0,6,5,0,0,2,0,7,25
318,CJ McKay,8,15,53.33,0,0,1,1,0,0,0,0,8,0
127,CK Kapugedera,16,24,66.67,0,0,3,3,0,0,1,0,3,13
242,CK Langeveldt,8,9,88.89,0,1,2,2,0,0,0,0,7,1
9,CL White,954,769,124.06,76,36,45,36,6,0,17,90,581,283
360,CM Gautam,169,158,106.96,17,6,13,10,0,0,3,68,56,45
408,CR Brathwaite,181,120,150.83,10,16,14,13,0,0,4,0,40,141
441,CR Woakes,63,66,95.45,5,2,11,6,0,0,4,0,24,39
149,CRD Fernando,4,3,133.33,0,0,2,0,0,0,0,0,0,4
526,CV Varun,10,16,62.5,0,0,3,2,0,0,1,0,0,10
99,D Kalyankrishna,3,8,37.5,0,0,1,1,0,0,0,0,0,3
517,D Padikkal,473,398,118.84,51,8,15,15,5,0,7,271,202,0
36,D Salunkhe,33,24,137.5,5,0,3,2,0,0,1,0,8,25
401,D Wiese,127,94,135.11,12,4,8,4,0,0,1,0,39,88
189,D du Preez,10,13,76.92,0,0,1,1,0,0,0,0,7,3
