Batting Innings,Batting Position,Runs Scored,Balls Faced,Batting Strikerate,Out/NotOut,4s,6s,50s,100s,Runs in Powerplay,Runs in Middle Overs,Runs in Death Overs,Strikerate in first 20 balls,Strikerate in 20 to 30 balls,Strikerate after 30 balls,Bowling Innings,Runs Given,Balls Bowled,Wickets Taken,Economy Rate,Bowling Strikerate,3 wicket hauls,5 wicket hauls,Wickets in Powerplay,Wickets in Middle Overs,Wickets in Death Overs,Economy in Powerplay,Economy in Middle Overs,Economy in Death Overs,Catches or Runouts as Fielder,Match Result,Man of the match
1.0,0.0,10.0,12.0,83.33,1.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,83.33,-1.0,-1.0,2.0,23.0,25.0,2.0,5.52,12.5,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,5.52,0.0,1.0,0.0
2.0,8.0,14.0,30.0,46.67,1.0,1.0,0.0,0.0,0.0,4.0,10.0,0.0,35.0,70.0,-1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,0.0
1.0,0.0,12.0,19.0,63.16,1.0,1.0,0.0,0.0,0.0,9.0,3.0,0.0,63.16,-1.0,-1.0,2.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
1.0,0.0,4.0,2.0,200.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,200.0,-1.0,-1.0,2.0,14.0,12.0,0.0,7.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,7.0,0.0,0.0,0.0
2.0,2.0,51.0,39.0,130.77,1.0,4.0,2.0,1.0,0.0,17.0,34.0,0.0,130.0,170.0,88.89,1.0,14.0,6.0,0.0,14.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,14.0,0.0,0.0,0.0
2.0,4.0,5.0,7.0,71.43,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,71.43,-1.0,-1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,0.0
1.0,1.0,20.0,22.0,90.91,1.0,2.0,0.0,0.0,0.0,16.0,4.0,0.0,100.0,0.0,-1.0,2.0,8.0,18.0,1.0,2.67,18.0,0.0,0.0,0.0,0.0,1.0,3.0,-1.0,2.5,0.0,1.0,1.0
1.0,1.0,91.0,57.0,159.65,1.0,11.0,5.0,1.0,0.0,32.0,52.0,7.0,135.0,130.0,188.89,2.0,26.0,24.0,2.0,6.5,12.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,6.5,2.0,1.0,1.0
1.0,1.0,7.0,4.0,175.0,1.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,175.0,-1.0,-1.0,2.0,23.0,24.0,0.0,5.75,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,5.75,0.0,1.0,0.0
1.0,1.0,15.0,20.0,75.0,1.0,2.0,0.0,0.0,0.0,1.0,14.0,0.0,75.0,-1.0,-1.0,2.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,0.0
